source,target
2115350362,3248438592
2115350362,6184984212
2115350362,6329420338
2115350362,6560020707
5370603542,3248438592
5370603542,6560020707
5370603542,6314120663
6515036378,3248438592
1048976664,3248438592
1048976664,6184984212
1048976664,6329420338
1048976664,6560020707
1048976664,1769985142
1048976664,1825329153
1048976664,5661672527
1048976664,1749937787
6249146253,1769985142
6106069365,3248438592
6537740406,6184984212
5404209095,3248438592
5404209095,6560020707
5404209095,6314120663
2822327393,3248438592
6127758524,3248438592
6127758524,6184984212
5211752875,3248438592
5211752875,6314120663
6563891659,3248438592
6563891659,1825329153
6563891659,6314120663
6499659206,3248438592
6499659206,6560020707
1168640844,3248438592
1168640844,6560020707
1433868135,3248438592
1433868135,6184984212
6212113650,3248438592
6212113650,1769985142
6523692549,6184984212
5602841482,1825329153
6446291182,6184984212
5690330675,6448546090
5690330675,3248438592
5690330675,6184984212
5690330675,6329420338
5690330675,6560020707
5690330675,1825329153
5690330675,6314120663
5690330675,1749937787
6539000993,3248438592
6539000993,6329420338
6539000993,1769985142
6539000993,5661672527
6521957421,1749937787
6232854886,3248438592
6470987391,3248438592
6470987391,1825329153
6470987391,5661672527
6470987391,6314120663
6470987391,1749937787
5891924122,3248438592
5891924122,5661672527
5217066589,3248438592
6013248288,6551271869
6013248288,3248438592
5596475056,3248438592
5596475056,1769985142
5596475056,1825329153
5596475056,6314120663
5475799129,3248438592
5475799129,6184984212
5475799129,6560020707
6488919667,6329420338
6488919667,5661672527
5408053601,3248438592
5408053601,1769985142
5408053601,1825329153
5408053601,1749937787
5092631668,3157780841
5092631668,1769985142
5092631668,6314120663
5535599795,3248438592
5535599795,1769985142
5535599795,1825329153
5535599795,1749937787
5916960895,3248438592
5916960895,6314120663
6284655990,3157780841
6284655990,3248438592
6284655990,6184984212
6284655990,6329420338
6284655990,6560020707
6284655990,1769985142
6284655990,1825329153
6284655990,6314120663
5425112630,3248438592
5425112630,6184984212
5425112630,6560020707
5425112630,1825329153
5425112630,5661672527
6021856135,3248438592
6021856135,6560020707
6021856135,1769985142
1471641742,3248438592
1471641742,6184984212
1471641742,1769985142
6509353767,1825329153
6563959468,3248438592
6563959468,6329420338
6563959468,6560020707
2494120073,1769985142
2494120073,1825329153
2494120073,6314120663
2494120073,1749937787
5224543776,3153015285
5224543776,3248438592
5224543776,1769985142
5224543776,6314120663
6523396532,3248438592
6523396532,6314120663
5833516785,6314120663
5715711429,3248438592
5506390671,1825329153
5506390671,6314120663
5506390671,1749937787
5531859562,6448546090
5531859562,3248438592
5531859562,1825329153
